title,year,summary,short_summary,genres,imdb_id,youtube_trailer,rating,director,cast
macbeth,2015,"Macbeth, the Thane of Glamis, receives a prophecy from a trio of witches that one day he will become King of Scotland. Consumed by ambition and spurred to action by his wife, Macbeth murders his king and takes the throne for himself.",macbeth thane glamis receives prophecy trio witch one day become king scotland consumed ambition spurred action wife macbeth murder king take throne,action drama history war,tt2884018,3Q3EnDtbg8w,6.7,Justin Kurzel,action drama history war
last cab to darwin,2015,"Rex is a loner, and when he's told he doesn't have long to live, he embarks on an epic drive through the Australian outback from Broken Hill to Darwin to die on his own terms; but his journey reveals to him that before you can end your life, you have to live it, and to live it, you've got to share it.",rex broken hill cab driver told long live set epic journey darwin bid die term,action comedy drama romance,tt3680410,hypCdpjTMDI,7.2,Jeremy Sims,action comedy drama romance
freeheld,2015,"New Jersey police lieutenant, Laurel Hester, and her registered domestic partner, Stacie Andree, both battle to secure Hester's pension benefits when she is diagnosed with terminal cancer.",new jersey police lieutenant laurel hester registered domestic partner stacie andree battle secure hester pension benefit diagnosed terminal cancer,action biography drama romance,tt1658801,blk27Jj9UE8,6.5,Peter Sollett,action biography drama romance
congo: the grand inga project,2013,"CONGO: The Grand Inga Project chronicles kayak icon Steve Fisher as he and a team of the bravest and most talented paddlers on earth tackle a first descent of the Inga Rapids, a deadly stretch of whitewater in the heart of the Democratic Republic of Congo.",congo grand inga project chronicle kayak icon steve fisher team bravest talented paddler earth tackle first descent inga rapid deadly,action adventure documentary sport,tt2509902,N1glN7aZyEQ,6.6,Steve Fisher,action adventure documentary sport
the prophet,2014,Exiled artist and poet Mustafa embarks on a journey home with his housekeeper and her daughter; together the trio must evade the authorities who fear that the truth in Mustafa's words will incite rebellion.,exiled artist poet mustafa embarks journey home housekeeper daughter,action animation drama,tt1640718,lwQbMxDcRGE,7.1,together the trio must evade the authorities who fear that the truth in Mustafa's words will incite rebellion.,action animation drama
the program,2015,"An Irish sports journalist becomes convinced that Lance Armstrong's performances during the Tour de France victories are fueled by banned substances. With this conviction, he starts hunting for evidence that will expose Armstrong.",irish sport journalist becomes convinced lance armstrong performance tour france victory fueled banned substance conviction start hunting evidence expose armstrong,action biography drama sport,tt3083008,v4MiqwYE-5k,6.5,Stephen Frears,action biography drama sport
bend it like beckham,2002,"A comedy about bending the rules to reach your goal, Bend It Like Beckham explores the world of women's football, from kick-abouts in the park to freekicks in the Final. Set in Hounslow, West London and Hamburg, the film follows two 18 year olds with their hearts set on a future in professional soccer. Heart-stopping talent doesn't seem to be enough when your parents want you to hang up your football boots, find a nice boyfriend and learn to cook the perfect chapatti.",daughter orthodox sikh rebel parent traditionalism join football team,action comedy drama romance sport,tt0286499,XsmbObwStSQ,6.7,Gurinder Chadha,action comedy drama romance sport
suffragette,2015,"A drama that tracks the story of the foot soldiers of the early feminist movement, women who were forced underground to pursue a dangerous game of cat and mouse with an increasingly brutal State. These women were not primarily from the genteel educated classes, they were working women who had seen peaceful protest achieve nothing. Radicalized and turning to violence as the only route to change, they were willing to lose everything in their fight for equality - their jobs, their homes, their children and their lives. Maud was one such foot soldier. The story of her fight for dignity is as gripping and visceral as any thriller, it is also heart-breaking and inspirational.",1912 london young working mother galvanized radical political activism supporting right woman vote willing meet violence violence achieve end,action biography drama history,tt3077214,056FI2Pq9RY,6.9,Sarah Gavron,action biography drama history
blood work,2002,"Retired FBI profiler Terry McCaleb (Eastwood), who has recently had a heart transplant, is hired by Graciela Rivers (De Jesus), to investigate the death of her sister, Gloria, who happens to have given McCaleb his heart. On the case, he soon deduces that the killer, who staged the murder to look like a random robbery, may actually be a serial killer Terry was trailing for years in the FBI. Can the elderly and feeble McCaleb, who had intended to spend his retirement living on his boat in the Los Angeles harbor, and who can't drive, and has to nap regularly, muster up the endurance to find the killer?",still recovering heart transplant retired fbi profiler return service blood analysis offer clue identity serial killer,action crime drama mystery thriller,tt0309377,vMg7LZ-JF6I,6.4,Clint Eastwood,action crime drama mystery thriller
the last witch hunter,2015,"The modern world holds many secrets, but the most astounding secret of all is that witches still live amongst us; vicious supernatural creatures intent on unleashing the Black Death upon the world. Armies of witch hunters battled the unnatural enemy across the globe for centuries, including Kaulder, a valiant warrior who managed to slay the all-powerful Queen Witch, decimating her followers in the process. In the moments right before her death, the Queen curses Kaulder with her own immortality, forever separating him from his beloved wife and daughter in the afterlife. Today Kaulder is the only one of his kind remaining, and has spent centuries hunting down rogue witches, all the while yearning for his long-lost loved ones. However, unbeknownst to Kaulder, the Queen Witch is resurrected and seeks revenge on her killer causing an epic battle that will determine the survival of the human race.",last witch hunter stand humanity combined force horrifying witch history,action adventure fantasy,tt1618442,xsuG2JUgs_8,6.0,Breck Eisner,action adventure fantasy
